TOKEN		OUTPUT			CORRECT
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
hæræz næmdinne			hæræz næmdinne (0)			härads nämd
sua			sua (0)			sva
skilt			skilt (0)			skilia
ær			ær (0)			vara
æn			æn (0)			än
hauær			hauær (0)			hava
böt			biuþa (1)			böta
uiþ			uiþ (0)			viþ
kununng			kununng (0)			konunger
ælla			ælla (0)			älla
hæræþe			hæræþe (0)			häraþe
ælla			ælla (0)			älla
ok			uk (1)			ok
uiþ			uiþ (0)			viþ
malsæghandan			malsæghandan (0)			malsäghande
ok			uk (1)			ok
uiþ			uiþ (0)			viþ
þa			þiggia (0.5)			þän
þrea			þrea (0)			þrir
þa			þiggia (0.5)			þa
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
þæs			þæs (0)			þän
ræt			ræt (0)			rätter
egh			äg (0.666667)			eigh
uar			uar (0)			vara
böt			biuþa (1)			böta
uiþær			uiþær (0)			viþ
ok			uk (1)			ok
egh			äg (0.666667)			eigh
mera			mär (1)			mere
æruir			æruir (0)			ärva
uarþ			uarþ (0)			varþa
gör			göra (1)			gör
ok			uk (1)			ok
bo			boa (1)			bo
ær			ær (0)			vara
skipt			skipt (0)			skipta
þa			þiggia (0.5)			þa
skiptis			skiptis (0)			skipta
egh			äg (0.666667)			eigh
þæt			þæt (0)			þän
æruir			æruir (0)			ärva
þæt			þæt (0)			þän
ok			uk (1)			ok
oskipt			oskipt (0)			skipta
friþlösunne			friþlösunne (0)			friþlösa
þa			þiggia (0.5)			þa
þæt			þæt (0)			þän
arua			arua (0)			arve
ok			uk (1)			ok
alt			alt (0)			alder
þæt			þæt (0)			þän
ærfþe			ærfþe (0)			ärva
þæt			þæt (0)			þän
skiptis			skiptis (0)			skipta
mællin			mællin (0)			mällom
aruanna			aruanna (0)			arve
uærkar			uærkar (0)			värka
sak			saker (1)			sak
friþlösu			friþlösu (0)			friþlösa
ok			uk (1)			ok
friþlösu			friþlösu (0)			friþlösa
þa			þiggia (0.5)			þa
saki			saki (0)			sak
mæþ			mæþ (0)			mäþ
æn			æn (0)			än
kombær			kombær (0)			koma
atær			atær (0)			ater
friþ			friþ (0)			friþer
þa			þiggia (0.5)			þa
þa			þiggia (0.5)			þän
sakir			sakir (0)			sak
uærkaþus			uærkaþus (0)			värka
friþlösunne			friþlösunne (0)			friþlösa
æn			æn (0)			än
kæra			kæra (0)			kära
arua			arua (0)			arve
ok			uk (1)			ok
sighia			sea (1)			sighia
at			ägha (0.5)			at
uær			uær (0)			vara
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
aruani			aruani (0)			arve
uitsorþ			uitsorþ (0)			vitsorþ
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
þrænne			þrænne (0)			þränne
eþum			eþum (0)			eþer
at			ägha (0.5)			at
friþlösu			friþlösu (0)			friþlösa
ok			uk (1)			ok
ær			ær (0)			vara
egh			äg (0.666667)			eigh
skyldughær			skyldughær (0)			skyldogher
at			ägha (0.5)			at
firi			firi (0)			for
æ			æ (0)			ä
firi			firi (0)			for
huat			huat (0)			hvar
male			male (0)			mal
uarþær			uarþær (0)			varþa
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
sua			sua (0)			sva
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
ok			uk (1)			ok
allum			allum (0)			alder
malum			malum (0)			mal
sua			sua (0)			sva
ær			ær (0)			vara
skilt			skilt (0)			skilia
drapara			drapara (0)			drapare
bo			boa (1)			bo
skiptas			skiptas (0)			skipta
egh			äg (0.666667)			eigh
foruærkar			foruærkar (0)			forvärka
lut			ludher (0.5)			luter
ok			uk (1)			ok
egh			äg (0.666667)			eigh
barna			barna (0)			barn
lut			ludher (0.5)			luter
ok			uk (1)			ok
egh			äg (0.666667)			eigh
sialuær			sialuær (0)			siälver
mællum			mællum (0)			mällom
ok			uk (1)			ok
sin			sin (0.6)			sik
ælla			ælla (0)			älla
mællum			mællum (0)			mällom
barna			barna (0)			barn
hauær			hauær (0)			hava
sakina			sakina (0)			sak
uærkat			uærkat (0)			värka
þa			þiggia (0.5)			þa
bo			boa (1)			bo
skiptas			skiptas (0)			skipta
þa			þiggia (0.5)			þa
kunungxs			kunungxs (0)			konunger
þær			þær (0)			þär
nær uara			nær uara (0)			närvara
ok			uk (1)			ok
malsæghande			malsæghande (0)			malsäghande
ok			uk (1)			ok
hæræzs höfþinge			hæræzs höfþinge (0)			häradshöfþinge
ok			uk (1)			ok
kununna			kununna (0)			kona
frændær			frændær (0)			frände
ok			uk (1)			ok
barnna			barnna (0)			barn
nær uara			nær uara (0)			närvara
skil			skilia (0.5)			skilia+a
a			af (0.666667)			a
sighia			sea (1)			sighia
omynd			omynd (0)			urmynd
mere			mär (1)			mere
uara			uara (0)			vara
ok			uk (1)			ok
soknarane			soknarane (0)			soknare
sighia			sea (1)			sighia
uara			uara (0)			vara
þa			þiggia (0.5)			þa
hænna			hænna (0)			hon
frændær			frændær (0)			frände
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
hænne			hænne (0)			hon
uar			uar (0)			vara
sua			sua (0)			sva
omynd			omynd (0)			urmynd
giuit			giuit (0)			giva
a			af (0.666667)			a
gipta kuælde			gipta kuælde (0)			giptar qvälder
ok			uk (1)			ok
mælt			mælt (0)			mäla
a			af (0.666667)			a
fæstninga stæmnu			fæstninga stæmnu (0)			fästninga stämna
sighia			sea (1)			sighia
barnin			barnin (0)			barn
sik			sighia (0.5)			sik
uara			uara (0)			vara
laghskipt			laghskipt (0)			laghskipter
uiþær			uiþær (0)			viþ
för æn			för æn (0)			fyr än
þa			þiggia (0.5)			þän
gærþ			gærþ (0)			gärþ
giorþe			giorþe (0)			göra
ok			uk (1)			ok
sornarin			sornarin (0)			soknare
sighær			sighær (0)			sighia
þa			þiggia (0.5)			þa
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
fiughurtam			fiughurtam (0)			fiughurtan
at			ägha (0.5)			at
uaru			uaru (0)			vara
lutskipt			lutskipt (0)			lutskipter
uiþær			uiþær (0)			viþ
för æn			för æn (0)			fyr än
þa			þiggia (0.5)			þän
sak			saker (1)			sak
giorþe			giorþe (0)			göra
æn			æn (0)			än
þæt			þæt (0)			þän
æt			æt (0)			vara
bondans			bondans (0)			bonde
drap			drap (0)			dräpa
ok			uk (1)			ok
kunungxs			kunungxs (0)			konunger
soknarin			soknarin (0)			soknare
sighær			sighær (0)			sighia
egh			äg (0.666667)			eigh
uata			uata (0)			vara
lutskiptan			lutskiptan (0)			lutskipter
bondanum			bondanum (0)			bonde
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
bondans			bondans (0)			bonde
uitzorþ			uitzorþ (0)			vitsorþ
uita			uita (0)			vita
lutskiptan			lutskiptan (0)			lutskipter
sik			sighia (0.5)			sik
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
fiughutan			fiughutan (0)			fiughurtan
a			af (0.666667)			ägha
egh			äg (0.666667)			eigh
hafs			hava (1)			haf
at			ägha (0.5)			at
uisa			uisa (0)			visa
ok			uk (1)			ok
egh			äg (0.666667)			eigh
hirþgarþ			hirþgarþ (0)			hirþgarþer
bo			boa (1)			bo
hændær			hændær (0)			hand
sætia			sætia (0)			sätia
þa			þiggia (0.5)			þa
ær			ær (0)			vara
uiþær			uiþær (0)			viþ
lagh skiptær			lagh skiptær (0)			laghskipter
hauær			hauær (0)			hava
egh			äg (0.666667)			eigh
bo			boa (1)			bo
hændær			hændær (0)			hand
stætia			stætia (0)			sätia
þa			þiggia (0.5)			þa
fa			far (1)			fa
boskap			boskap (0)			boskaper
þæt			þæt (0)			þän
æru			æru (0)			vara
kuiki			kuiki (0)			qvikker
kuste			kuste (0)			koster
bo			boa (1)			bo
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
þæsse			þæsse (0)			þänne
eþa			eþa (0)			eþer
gangas			gangas (0)			ganga
æru			æru (0)			vara
þa			þiggia (0.5)			þa
kunungxs			kunungxs (0)			konunger
ok			uk (1)			ok
malsæghande			malsæghande (0)			malsäghande
ok			uk (1)			ok
hærazshöfþinge			hærazshöfþinge (0)			häraþshöfþinge
nær uara			nær uara (0)			närvara
þer			þär (0.75)			þän
æru			æru (0)			vara
alle			alle (0)			alder
malsæghanda			malsæghanda (0)			malsäghande
at			ägha (0.5)			at
male			male (0)			mal
skiptinu			skiptinu (0)			skipte
goþzs			goþzs (0)			gods
þa			þiggia (0.5)			þa
bötin			bötin (0)			böta
firi			firi (0)			for
þrea			þrea (0)			þrir
markær			markær (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
ok			uk (1)			ok
þæs			þæs (0)			þän
husum			husum (0)			hus
þæt			þæt (0)			þän
takit			takit (0)			taka
þa			þiggia (0.5)			þa
dyli			dyli (0)			dylia
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
mannum			mannum (0)			maþer
ælla			ælla (0)			älla
markær			markær (0)			mark
haldær			haldær (0)			halda
ok			uk (1)			ok
dræpær			dræpær (0)			dräpa
þa			þiggia (0.5)			þa
a			af (0.666667)			a
sama			sama (0)			samber
dagh			dag (1)			dagher
stæmna			stæmna (0)			stämna
draparanum			draparanum (0)			drapare
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
uitnum			uitnum (0)			vitne
þerra			þerra (0)			þän
halzs bani			halzs bani (0)			halsbani
lagha			lagh (1)			lagha
fæmptum			fæmptum (0)			fämt
mærkær			mærkær (0)			mark
halde			halde (0)			halda
bötir			bötir (0)			böta
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
skiptis			skiptis (0)			skipa
bo			boa (1)			bo
þa			þiggia (0.5)			þa
tue			tue (0)			tver
firi			firi (0)			for
en			än (0.666667)			en
uill			uill (0)			vilia
halz bani			halz bani (0)			halsbani
suæria			suæria (0)			sväria
þa			þiggia (0.5)			þa
suæri			suæri (0)			sväria
sua			sua (0)			sva
skilt			skilt (0)			skilia
uar			uar (0)			vara
æn			æn (0)			än
draparin			draparin (0)			drapare
uill			uill (0)			vilia
suæria			suæria (0)			sväria
fly			flya (1)			flyia
halz bani			halz bani (0)			halsbani
ok			uk (1)			ok
ær			ær (0)			vara
bortu			bortu (0)			borto
ar			vara (1)			ar
gangi			gangi (0)			ganga
atær			atær (0)			ater
mæþ			mæþ (0)			mäþ
samu			samu (0)			samber
sak			saker (1)			sak
fluþi			fluþi (0)			flyia
firi			firi (0)			for
þæt			þæt (0)			þän
æru			æru (0)			vara
markær			markær (0)			mark
æn			æn (0)			än
drapari			drapari (0)			drapare
kumi			kumi (0)			koma
friþ			friþ (0)			friþer
för æn			för æn (0)			for
rættær			rættær (0)			rätter
arui			arui (0)			arve
biþær			biþær (0)			biþia
firi			firi (0)			for
þa			þiggia (0.5)			þa
kununguær			kununguær (0)			konunger
ær			ær (0)			vara
kunungx			kunungx (0)			konunger
ok			uk (1)			ok
riþær			riþær (0)			riþa
eriks gatu			eriks gatu (0)			eriks gata
ok			uk (1)			ok
takær			takær (0)			taka
inlændingh			inlændingh (0)			inländinger
þæt			þæt (0)			þän
æru			æru (0)			vara
markær			markær (0)			mark
huariu			huariu (0)			hvar
hæræþe			hæræþe (0)			häraþ
þa			þiggia (0.5)			þa
þrim			þrim (0)			þrir
mannum			mannum (0)			maþer
friþ			friþ (0)			friþer
giua			giua (0)			giva
sua at			sua at (0)			sva at
egh			äg (0.666667)			eigh
samuist			samuist (0)			samvist
mæþ			mæþ (0)			mäþ
þo huaru			þo huaru (0)			þo hvaro
æru			æru (0)			vara
þer			þär (0.75)			þän
ugildi			ugildi (0)			ogilder
firi			firi (0)			for
rættum			rættum (0)			rätter
arwm			arwm (0)			arve
æ þær til			æ þær til (0)			ä thär til
böt			biuþa (1)			böta
uiþ			uiþ (0)			viþ
kænnis			kænnis (0)			känna
ualruf			ualruf (0)			valruf
ok			uk (1)			ok
taks			taks (0)			taka
handum			handum (0)			hand
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
marka			marka (0)			mark
sak			saker (1)			sak
egh			äg (0.666667)			eigh
handum			handum (0)			hand
þæt			þæt (0)			þän
ær			ær (0)			vara
eþær			eþær (0)			eþer
ælla			ælla (0)			älla
þrea			þrea (0)			þrir
markær			markær (0)			mark
æt			æt (0)			ät
araþær			araþær (0)			araþa
þæt			þæt (0)			þän
ær			ær (0)			vara
half			half (0)			halver
mark			margher (0.5)			mark
ok			uk (1)			ok
örtughær			örtughær (0)			örtogh
þær			þær (0)			þär
tua			tua (0)			tver
fæþrinis frændær			fæþrinis frændær (0)			fäþrinis frände*
ok			uk (1)			ok
þriþiung			þriþiung (0)			þriþiunger
frændrini			frændrini (0)			frände
a			af (0.666667)			a
möþrinit			möþrinit (0)			möþrine
ær			ær (0)			vara+til
þa			þiggia (0.5)			þa
hofþar			hofþar (0)			hofþa
firi			firi (0)			for
allum			allum (0)			alder
huat			huat (0)			hvat
þæt			þæt (0)			þän
ær			ær (0)			vara
hældær			hældær (0)			hälder
aþalkunu son			aþalkunu son (0)			aþalkonu sun
ælla			ælla (0)			älla
friþllu son			friþllu son (0)			frillo son
þæn			þæn (0)			þän
ær			ær (0)			vara
næstær			næstær (0)			näster
þa			þiggia (0.5)			þa
hofþe			hofþe (0)			hofþa
firi			firi (0)			for
allum			allum (0)			alder
alle			alle (0)			alder
ætta			ætta (0)			ät
æru			æru (0)			vara
siunda			siunda (0)			siunde
manzs			manzs (0)			maþer
þa			þiggia (0.5)			þa
gialde			gialde (0)			giälda
sua			sua (0)			sva
sua			sua (0)			sva
taks			taks (0)			taka
ornabot			ornabot (0)			oranbot
hon			han (1)			hon
bötis			bötis (0)			böta
fæþrinis fændær			fæþrinis fændær (0)			fäþrinis frände*
tua			tua (0)			tver
ok			uk (1)			ok
möþrinis frændær			möþrinis frændær (0)			möþrinis frände
þriþiungh			þriþiungh (0)			þriþiunger
ok			uk (1)			ok
sua			sua (0)			sva
þæn			þæn (0)			þän
næstær			næstær (0)			näster
ær			ær (0)			vara
a			af (0.666667)			a
faþrinit			faþrinit (0)			fäþrine
hofþe			hofþe (0)			hofþa
firi			firi (0)			for
fæþrinis frændumin			fæþrinis frændumin (0)			fäþrinis frände*
ok			uk (1)			ok
þæn			þæn (0)			þän
ær			ær (0)			vara
næstær			næstær (0)			näster
þæn			þæn (0)			þän
næstær			næstær (0)			näster
ær			ær (0)			vara
a			af (0.666667)			a
möþrinit			möþrinit (0)			möþrine
atær			atær (0)			ater
ær			ær (0)			vara
þriþunginum			þriþunginum (0)			þriþiunger
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
uar			uar (0)			vara
egh			äg (0.666667)			eigh
draparanum			draparanum (0)			drapare
sua			sua (0)			sva
skyldær			skyldær (0)			skylder
at			ägha (0.5)			at
a			af (0.666667)			ägha
kombær			kombær (0)			koma
mællum			mællum (0)			mällom
ok			uk (1)			ok
þer			þär (0.75)			þän
alli			alli (0)			alder
ena			ena (0)			en
kirkiu			kirkiu (0)			kirkia
þa			þiggia (0.5)			þa
standær			standær (0)			standa
orar			orar (0)			ora
þa			þiggia (0.5)			þa
saklöst			saklöst (0)			saklös
uti			uti (0)			ute
æn			æn (0)			än
standær			standær (0)			standa
kirkiu			kirkiu (0)			kirkia
þa			þiggia (0.5)			þa
saklöst			saklöst (0)			saklös
kirkiu			kirkiu (0)			kirkia
þingh			þingh (0)			þing
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
annanuagh			annanuagh (0)			annan vägh
þingxs			þingxs (0)			þing
orar			orar (0)			ora
uiþ			uiþ (0)			viþ
ok			uk (1)			ok
suara			suara (0)			sväria
sak			saker (1)			sak
æn			æn (0)			än
ær			ær (0)			vara
stæmpt			stæmpt (0)			stämna
ælla			ælla (0)			älla
mæli			mæli (0)			mäla
at			ägha (0.5)			at
þingstamnu			þingstamnu (0)			þingstämna
þinge			þinge (0)			þing
ok			uk (1)			ok
sua			sua (0)			sva
saklöst			saklöst (0)			saklös
samfundir			samfundir (0)			*samfund
ok			uk (1)			ok
egh			äg (0.666667)			eigh
annur lund			annur lund (0)			annorlund
gange			gange (0)			ganga
mæþ			mæþ (0)			mäþ
gruþum			gruþum (0)			gruþ
annurlund			annurlund (0)			annorlund
gær			gær (0)			göra
agangu			agangu (0)			aganga
andrum			andrum (0)			annar
ær			ær (0)			vara
sakær			sakær (0)			saker
at			ägha (0.5)			at
þrim			þrim (0)			þrir
markum			markum (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
giorþe			giorþe (0)			göra
ænga			ænga (0)			ängin
agangu			agangu (0)			aganga
draparans			draparans (0)			drapare
frændær			frændær (0)			frände
stæmna			stæmna (0)			stämna
frændum			frændum (0)			frände
fæþrinis			fæþrinis (0)			fäþrine
frændær			frændær (0)			frände
fæþringum			fæþringum (0)			fäþrine
ok			uk (1)			ok
möþrinis			möþrinis (0)			möþrine
frænær			frænær (0)			frände
möþringum			möþringum (0)			möþrine
þæs			þæs (0)			þän
frændær			frændær (0)			frände
dræpin			dræpin (0)			dräpa
uar			uar (0)			vara
æpte			æpte (0)			äptir
botinnne			botinnne (0)			bot
ok			uk (1)			ok
egh			äg (0.666667)			eigh
stæmna			stæmna (0)			stämna
æ			æ (0)			ä
þær til			þær til (0)			þär til
uiþ			uiþ (0)			viþ
fæþrinis			fæþrinis (0)			fäþrine
frændrina			frændrina (0)			frände
at			ägha (0.5)			at
þer			þär (0.75)			þän
fa			far (1)			fa
tuælytina			tuælytina (0)			tväluter
botinne			botinne (0)			bot
ok			uk (1)			ok
uiþær			uiþær (0)			viþ
möþrinis			möþrinis (0)			möþrine
frændrina			frændrina (0)			frände
at			ägha (0.5)			at
fa			far (1)			fa
þriþiungh			þriþiungh (0)			þriþiunger
botinne			botinne (0)			bot
ær			ær (0)			vara
alt			alt (0)			alder
enu			enu (0)			en
drape			drape (0)			drap
fræls			fræls (0)			fräls
ok			uk (1)			ok
annöþughær			annöþughær (0)			annöþoger
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
frælsa			frælsa (0)			fräls
ok			uk (1)			ok
egh			äg (0.666667)			eigh
þæn			þæn (0)			þän
annöþugha			annöþugha (0)			annöþoger
draps			draps (0)			drap
ær			ær (0)			vara
alt			alt (0)			alder
enu			enu (0)			en
drape			drape (0)			drap
ok			uk (1)			ok
þa			þiggia (0.5)			þa
draps			draps (0)			drap
ok			uk (1)			ok
egh			äg (0.666667)			eigh
kununa			kununa (0)			kona
egh			äg (0.666667)			eigh
kunu			kunu (0)			kona
halzsbænd			halzsbænd (0)			haldsbänd
uitna			uitna (0)			vitna
drapær			drapær (0)			dräpa
kunu			kunu (0)			kona
uari			uari (0)			vara
þær			þær (0)			þär
sua			sua (0)			sva
alt			alt (0)			alder
förra			förra (0)			fyrre
uar			uar (0)			vara
skilt			skilt (0)			skilia
æn			æn (0)			än
hafþe			hafþe (0)			hava
dræpit			dræpit (0)			dräpa
æn			æn (0)			än
hon			han (1)			hon
laghgiptan			laghgiptan (0)			laghgipter
þa			þiggia (0.5)			þa
söke			söke (0)			sökia
a			af (0.666667)			a
draparan			draparan (0)			drapare
ok			uk (1)			ok
taki			taki (0)			taka
bötrina			bötrina (0)			bot
ok			uk (1)			ok
boskipti			boskipti (0)			boskipte
þa			þiggia (0.5)			þa
æn			æn (0)			än
hun			hun (0)			hon
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
söke			söke (0)			sökia
hænna			hænna (0)			hon
arue			arue (0)			arve
ær			ær (0)			vara
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
söke			söke (0)			sökia
mals man			mals man (0)			mals maþer
dræpær			dræpær (0)			dräpa
ok			uk (1)			ok
uilia			uilia (0)			vilia
þer			þär (0.75)			þän
hæmnas			hæmnas (0)			hämna
æfter			æfter (0)			äptir
æru			æru (0)			vara
þa			þiggia (0.5)			þa
þer			þär (0.75)			þän
egh			äg (0.666667)			eigh
a			af (0.666667)			a
hana			han (1)			hon
hæmnas			hæmnas (0)			hämna
ængum			ængum (0)			ängin
friþ			friþ (0)			friþer
uar			uar (0)			vara
skilt			skilt (0)			skilia
æn			æn (0)			än
þer			þär (0.75)			þän
hæmnas			hæmnas (0)			hämna
a			af (0.666667)			a
hana			han (1)			hon
ælla			ælla (0)			älla
ok			uk (1)			ok
obrutnum			obrutnum (0)			obrutin
friþinum			friþinum (0)			friþer
þa			þiggia (0.5)			þa
liggi			liggi (0)			liggia
ogild			ogild (0)			ogilder
firi			firi (0)			for
sialura			sialura (0)			siälver
gærþ			gærþ (0)			gärþ
æn			æn (0)			än
egh			äg (0.666667)			eigh
kunu			kunu (0)			kona
þingxs			þingxs (0)			þing
