TOKEN		OUTPUT			CORRECT
för			fyr (1)			fyr
nu			nu (0)			nu
man			maþer (1)			maþer
sum			sum (0)			sum
fiuratighi			fiuratighi (0)			fiuratighi
sins			sin (1)			sin
han			han (1)			han
sum			sum (0)			sum
för			fyr (1)			fyr
hans			han (1)			han
siax			siäx (1)			siäx
þöm			þän (1)			þän
taka			taka (0)			taka
sum			sum (0)			sum
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
sum			sum (0)			sum
i			i (0)			i
han			han (1)			han
han			han (1)			han
skulde			skula (1)			skula
koma			koma (0)			koma
i			i (0)			i
han			han (1)			han
sina			sin (0.5)			sin
fiuratighi			fiuratighi (0)			fiuratighi
ensak			ensak (0)			ensak
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
sina			sin (0.5)			sin
fiuratighi			fiuratighi (0)			fiuratighi
ensak			ensak (0)			ensak
nu			nu (0)			nu
fostre			fostre (0)			fostre
man			maþer (1)			maþer
han			han (1)			han
atta			atta (0)			atta
sum			sum (0)			sum
til			til (0)			til
hans			han (1)			han
þöm			þän (1)			þän
nu			nu (0)			nu
man			maþer (1)			maþer
böte			böta (1)			böta
atta			atta (0)			atta
þöm			þän (1)			þän
sum			sum (0)			sum
atte			ägha (1)			ägha
til			til (0)			til
hans			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
böte			böta (1)			böta
sum			sum (0)			sum
han			han (1)			han
skal			skula (1)			skula
siax			siäx (1)			siäx
tolf			tolf (0)			tolf
til			til (0)			til
öris			öre (1)			öre
nytia nöt			nytia nöt (0)			nytia nöt
sum			sum (0)			sum
ko			ko (0)			ko
sum			sum (0)			sum
nu			nu (0)			nu
ma			magha (1)			magha
sum			sum (0)			sum
utan			utan (0)			utan
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
sum			sum (0)			sum
ma			magha (1)			magha
drap			drap (0)			drap
nu			nu (0)			nu
kunnu			kunna (1)			kunna
þe			þän (1)			þän
man			maþer (1)			maþer
huar			hvar (1)			hvar
þy			þän (1)			þän
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
utan			utan (0)			utan
hin			hin (0)			hin
ut			ut (0)			ut
sum			sum (0)			sum
inne			inne (0)			inne
manna			maþer (1)			maþer
han			han (1)			han
nu			nu (0)			nu
sum			sum (0)			sum
han			han (1)			han
nu			nu (0)			nu
böte			böta (1)			böta
hans			han (1)			han
þriggia			þrir (1)			þrir
köpa			köpa (0)			köpa
hanum			han (1)			han
nyia			nyr (1)			nyr
nyia			nyr (1)			nyr
smyria			smyria (0)			smyria
baþe			baþir (1)			baþir
skal			skula (1)			skula
taka			taka (0)			taka
leþa			leþa (0)			leþa
up			up (0)			up
i			i (0)			i
skal			skula (1)			skula
gisl			gisl (0)			gisl
þry			þrir (1)			þrir
far			fa (0.333333)			fa
han			han (1)			han
sinum			sin (0.5)			sin
hanum			han (1)			han
hanum			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
af			af (0)			af
fiuratighi			fiuratighi (0)			fiuratighi
karl			karl (0)			karl
nu			nu (0)			nu
annar			annar (0)			annar
annar			annar (0)			annar
sum			sum (0)			sum
han			han (1)			han
til			til (0)			til
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
man			maþer (1)			maþer
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
ma			magha (1)			magha
til			til (0)			til
hans			han (1)			han
dylia			dylia (0)			dylia
han			han (1)			han
böte			böta (1)			böta
han			han (1)			han
sum			sum (0)			sum
nu			nu (0)			nu
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
aldrigh			aldrigh (0)			aldrigh
arf			arf (0)			arf
sum			sum (0)			sum
til			til (0)			til
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
skal			skula (1)			skula
huar			hvar (1)			hvar
fiughurtan			fiughurtan (0)			fiughurtan
han			han (1)			han
taki			taki (0)			taki
han			han (1)			han
taki			taki (0)			taki
atta			atta (0)			atta
fiughurtan			fiughurtan (0)			fiughurtan
hanum			han (1)			han
nu			nu (0)			nu
sum			sum (0)			sum
atte			ägha (1)			ägha
han			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
han			han (1)			han
skal			skula (1)			skula
siax			siäx (1)			siäx
tolf			tolf (0)			tolf
til			til (0)			til
öris			öre (1)			öre
nytia nöt			nytia nöt (0)			nytia nöt
för			fyr (1)			fyr
nu			nu (0)			nu
sum			sum (0)			sum
han			han (1)			han
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
hor			hor (0)			hor
styld			styld (0)			styld
i			i (0)			i
þöm			þän (1)			þän
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
manne			maþer (1)			maþer
annar			annar (0)			annar
far			fa (0.333333)			fa
af			af (0)			af
ma			magha (1)			magha
flere			flere (0)			flere
til			til (0)			til
taka			taka (0)			taka
et			en (1)			en
af			af (0)			af
tiughu			tiughu (0)			tiughu
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
aghu			ägha (1)			ägha
þiggia			þiggia (0)			þiggia
skal			skula (1)			skula
ganga			ganga (0)			ganga
böta			böta (0)			böta
til			til (0)			til
utan			utan (0)			utan
baþe			baþir (1)			baþir
sum			sum (0)			sum
fik			fa (1)			fa
baþe			baþir (1)			baþir
aghu			ägha (1)			ägha
þe			þän (1)			þän
et			en (1)			en
i			i (0)			i
soknare			soknare (0)			soknare
han			han (1)			han
buþ			buþ (0)			buþ
manna			maþer (1)			maþer
han			han (1)			han
til			til (0)			til
þo			þo (0)			þo
buþ			buþ (0)			buþ
fangit			fa (1)			fa
sin			sin (0.6)			sin
saklös			saklös (0)			saklös
nu			nu (0)			nu
far			fa (0.333333)			fa
han			han (1)			han
buþ			buþ (0)			buþ
olagha			olagha (0)			olagha
þe			þän (1)			þän
soknare			soknare (0)			soknare
nu			nu (0)			nu
sum			sum (0)			sum
han			han (1)			han
fik			fa (1)			fa
hanum			han (1)			han
buþ			buþ (0)			buþ
soknare			soknare (0)			soknare
soknare			soknare (0)			soknare
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
þe			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
skulde			skula (1)			skula
til			til (0)			til
tolf			tolf (0)			tolf
nu			nu (0)			nu
soknare			soknare (0)			soknare
utan			utan (0)			utan
biþa			biþa (0)			biþa
skal			skula (1)			skula
skal			skula (1)			skula
sant			sander (1)			sander
um			um (0)			um
skal			skula (1)			skula
ganga			ganga (0)			ganga
böta			böta (0)			böta
i			i (0)			i
þöm			þän (1)			þän
ma			magha (1)			magha
ur			ur (0)			ur
sum			sum (0)			sum
nu			nu (0)			nu
um			um (0)			um
skulu			skula (1)			skula
drap			drap (0)			drap
all			alder (1)			alder
kasta			kasta (0)			kasta
huarghin			hvarghin (1)			hvarghin
tiughu			tiughu (0)			tiughu
sum			sum (0)			sum
handlös			handlös (0)			handlös
siunde			siunde (0)			siunde
nu			nu (0)			nu
man			maþer (1)			maþer
kasta			kasta (0)			kasta
hus			hus (0)			hus
se			sea (0.5)			sea
huar			hvar (1)			hvar
sum			sum (0)			sum
handlös			handlös (0)			handlös
nu			nu (0)			nu
man			maþer (1)			maþer
spiut			spiut (0)			spiut
man			maþer (1)			maþer
af			af (0)			af
far			fa (0.333333)			fa
af			af (0)			af
nu			nu (0)			nu
til			til (0)			til
þön			þän (1)			þän
haldin			halda (1)			halda
til			til (0)			til
bot			bot (0)			bot
nu			nu (0)			nu
man			maþer (1)			maþer
undir			undir (0)			undir
slar			sla (1)			sla
til			til (0)			til
undan			undan (0)			undan
undir			undir (0)			undir
skal			skula (1)			skula
gialda			giälda (1)			giälda
sum			sum (0)			sum
sum			sum (0)			sum
skal			skula (1)			skula
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
sum			sum (0)			sum
han			han (1)			han
fik			fa (1)			fa
af			af (0)			af
aghu			ägha (1)			ägha
þe			þän (1)			þän
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
fik			fa (1)			fa
af			af (0)			af
hans			han (1)			han
nu			nu (0)			nu
flere			flere (0)			flere
aghu			ägha (1)			ägha
i			i (0)			i
sum			sum (0)			sum
böte			böta (1)			böta
huar			hvar (1)			hvar
sum			sum (0)			sum
til			til (0)			til
i			i (0)			i
þöm			þän (1)			þän
gangin			ganga (1)			ganga
i			i (0)			i
hanum			han (1)			han
nu			nu (0)			nu
til			til (0)			til
hans			han (1)			han
las			las (0)			las
af			af (0)			af
nu			nu (0)			nu
undi			undir (1)			undir
far			fa (0.333333)			fa
af			af (0)			af
sum			sum (0)			sum
af			af (0)			af
han			han (1)			han
han			han (1)			han
up			up (0)			up
nu			nu (0)			nu
annar			annar (0)			annar
man			maþer (1)			maþer
undi			undir (1)			undir
sum			sum (0)			sum
älla			älla (0)			älla
tull			tolder (1)			tolder
af			af (0)			af
han			han (1)			han
bot			bot (0)			bot
nu			nu (0)			nu
hugga			hugga (0)			hugga
af			af (0)			af
han			han (1)			han
bot			bot (0)			bot
siu			siu (0)			siu
i			i (0)			i
bot			bot (0)			bot
hans			han (1)			han
först			fyrst (1)			fyrst
þe			þän (1)			þän
sum			sum (0)			sum
hanum			han (1)			han
sum			sum (0)			sum
fat			far (1)			far
nu			nu (0)			nu
þöm			þän (1)			þän
þe			þän (1)			þän
hanum			han (1)			han
sum			sum (0)			sum
fik			fa (1)			fa
af			af (0)			af
aghu			ägha (1)			ägha
þe			þän (1)			þän
dylia			dylia (0)			dylia
han			han (1)			han
fik			fa (1)			fa
af			af (0)			af
gita			gita (0)			gita
bot			bot (0)			bot
sum			sum (0)			sum
för			fyr (1)			fyr
nu			nu (0)			nu
man			maþer (1)			maþer
til			til (0)			til
slar			sla (1)			sla
runi			runi (0)			runi
af			af (0)			af
han			han (1)			han
af			af (0)			af
gilt			gilder (1)			gilder
bani			bani (0)			bani
först			fyrst (1)			fyrst
i			i (0)			i
bot			bot (0)			bot
utan			utan (0)			utan
nu			nu (0)			nu
manne			maþer (1)			maþer
annar			annar (0)			annar
fik			fa (1)			fa
af			af (0)			af
hans			han (1)			han
han			han (1)			han
dylia			dylia (0)			dylia
han			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
i			i (0)			i
han			han (1)			han
i			i (0)			i
sum			sum (0)			sum
nu			nu (0)			nu
i			i (0)			i
bonde			bonde (0)			bonde
sum			sum (0)			sum
fostre			fostre (0)			fostre
i			i (0)			i
han			han (1)			han
drap			drap (0)			drap
sum			sum (0)			sum
nu			nu (0)			nu
kona			kona (0)			kona
i			i (0)			i
þön			þän (1)			þän
i			i (0)			i
sum			sum (0)			sum
för			fyr (1)			fyr
man			maþer (1)			maþer
utan			utan (0)			utan
þem			þän (1)			þän
i			i (0)			i
ensak			ensak (0)			ensak
nu			nu (0)			nu
man			maþer (1)			maþer
kona			kona (0)			kona
þön			þän (1)			þän
i			i (0)			i
sum			sum (0)			sum
þön			þän (1)			þän
sitia			sitia (0)			sitia
sum			sum (0)			sum
þöm			þän (1)			þän
þaghar			þaghar (0)			þaghar
þön			þän (1)			þän
sitia			sitia (0)			sitia
taka			taka (0)			taka
böta			böta (0)			böta
þöm			þän (1)			þän
nu			nu (0)			nu
fiuratighi			fiuratighi (0)			fiuratighi
hans			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
hans			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
son			son (1)			son
han			han (1)			han
matte			magha (0.5)			magha
afla			afla (0)			afla
fiuratighi			fiuratighi (0)			fiuratighi
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
lin			lin (0)			lin
spik			spik (0)			spik
han			han (1)			han
sum			sum (0)			sum
sin			sin (0.6)			sin
til			til (0)			til
skal			skula (1)			skula
han			han (1)			han
þing			þing (0)			þing
i			i (0)			i
sin			sin (0.6)			sin
lata			lata (0)			lata
sitia			sitia (0)			sitia
þing			þing (0)			þing
sitia			sitia (0)			sitia
þriþia			þriþi (1)			þriþi
þing			þing (0)			þing
þriþiu			þriþi (1)			þriþi
skulu			skula (1)			skula
hans			han (1)			han
fram			fram (0)			fram
ganga			ganga (0)			ganga
skulu			skula (1)			skula
han			han (1)			han
fik			fa (1)			fa
af			af (0)			af
hanum			han (1)			han
til			til (0)			til
þriþiu			þriþi (1)			þriþi
laghlika			laghlika (0)			laghlika
han			han (1)			han
böta			böta (0)			böta
atta			atta (0)			atta
friþi			friþer (1)			friþer
sinum			sin (0.5)			sin
nu			nu (0)			nu
drap			drap (0)			drap
skal			skula (1)			skula
han			han (1)			han
flere			flere (0)			flere
i			i (0)			i
haua			hava (1)			hava
þry			þrir (1)			þrir
skiold			skiolder (1)			skiolder
flere			flere (0)			flere
utan			utan (0)			utan
hin			hin (0)			hin
uili			vilia (1)			vilia
sum			sum (0)			sum
siþan			siþan (0)			siþan
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
nu			nu (0)			nu
drap			drap (0)			drap
þön			þän (1)			þän
sum			sum (0)			sum
man			maþer (1)			maþer
kan			kunna (1)			kunna
böta			böta (0)			böta
manne			maþer (1)			maþer
þem			þän (1)			þän
sum			sum (0)			sum
þem			þän (1)			þän
sum			sum (0)			sum
um			um (0)			um
han			han (1)			han
sum			sum (0)			sum
hanum			han (1)			han
ut			ut (0)			ut
skulu			skula (1)			skula
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
sant			sander (1)			sander
nu			nu (0)			nu
han			han (1)			han
sum			sum (0)			sum
nu			nu (0)			nu
hin			hin (0)			hin
skal			skula (1)			skula
han			han (1)			han
friþlös			friþlös (0)			friþlös
fara			fara (1)			fara
han			han (1)			han
böta			böta (0)			böta
sum			sum (0)			sum
nu			nu (0)			nu
skal			skula (1)			skula
han			han (1)			han
friþlös			friþlös (0)			friþlös
fara			fara (1)			fara
hans			han (1)			han
nu			nu (0)			nu
ma			magha (1)			magha
sum			sum (0)			sum
þem			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
gaf			giva (1)			giva
han			han (1)			han
gör			göra (1)			göra
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
minna			minne (1)			minne
taka			taka (0)			taka
minska			minzka (1)			minzka
först			fyrst (1)			fyrst
böte			böta (1)			böta
han			han (1)			han
fiura			fiurir (1)			fiurir
fiura			fiurir (1)			fiurir
gaf			giva (1)			giva
han			han (1)			han
af			af (0)			af
han			han (1)			han
siþan			siþan (0)			siþan
gaf			giva (1)			giva
birghir			birghir (0)			birghir
iarl			iärl (1)			iärl
i			i (0)			i
akoma			akoma (0)			akoma
til			til (0)			til
skulde			skula (1)			skula
han			han (1)			han
af			af (0)			af
sinum			sin (0.5)			sin
sum			sum (0)			sum
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
sökia			sökia (0)			sökia
utan			utan (0)			utan
hanum			han (1)			han
han			han (1)			han
dylia			dylia (0)			dylia
skal			skula (1)			skula
han			han (1)			han
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
gangit			ganga (1)			ganga
böte			böta (1)			böta
þy			þän (1)			þän
han			han (1)			han
sökia			sökia (0)			sökia
nu			nu (0)			nu
all			alder (1)			alder
afhug			afhug (0)			afhug
þön			þän (1)			þän
sum			sum (0)			sum
þön			þän (1)			þän
all			alder (1)			alder
fiuratighi			fiuratighi (0)			fiuratighi
sak			saker (1)			saker
nu			nu (0)			nu
lytis bot			lytis bot (0)			lytis bot
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
huarn			hvar (0.5)			hvar
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
nu			nu (0)			nu
man			maþer (1)			maþer
far			fa (0.333333)			fa
annar			annar (0)			annar
annar			annar (0)			annar
drap			drap (0)			drap
af			af (0)			af
af			af (0)			af
skena			skena (0)			skena
nu			nu (0)			nu
man			maþer (1)			maþer
drap			drap (0)			drap
sum			sum (0)			sum
han			han (1)			han
han			han (1)			han
skulu			skula (1)			skula
i			i (0)			i
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
siax			siäx (1)			siäx
sum			sum (0)			sum
in			in (0)			in
til			til (0)			til
hans			han (1)			han
siþan			siþan (0)			siþan
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
huart			hvar (1)			hvar
huar			hvar (1)			hvar
sum			sum (0)			sum
þe			þän (1)			þän
sant			sander (1)			sander
nu			nu (0)			nu
annar			annar (0)			annar
byrþe			byrþe (0)			byrþe
sum			sum (0)			sum
för			fyr (1)			fyr
i			i (0)			i
þöm			þän (1)			þän
sum			sum (0)			sum
þe			þän (1)			þän
skulu			skula (1)			skula
fasta			fasta (0)			fasta
böta			böta (0)			böta
nu			nu (0)			nu
baþe			baþir (1)			baþir
sant			sander (1)			sander
um			um (0)			um
nu			nu (0)			nu
han			han (1)			han
han			han (1)			han
han			han (1)			han
han			han (1)			han
huggin			hugga (1)			hugga
skal			skula (1)			skula
han			han (1)			han
föra			föra (0)			föra
sum			sum (0)			sum
för			fyr (1)			fyr
hin			hin (0)			hin
fylla			fylla (0)			fylla
sum			sum (0)			sum
nu			nu (0)			nu
sum			sum (0)			sum
mote			mote (0)			mote
han			han (1)			han
han			han (1)			han
skal			skula (1)			skula
hin			hin (0)			hin
sin			sin (0.6)			sin
nu			nu (0)			nu
man			maþer (1)			maþer
gör			göra (1)			göra
dör			döia (1)			döia
hin			hin (0)			hin
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
skal			skula (1)			skula
hans			han (1)			han
skulu			skula (1)			skula
dylia			dylia (0)			dylia
sum			sum (0)			sum
böta			böta (0)			böta
sum			sum (0)			sum
nu			nu (0)			nu
bonde			bonde (0)			bonde
husfru			husfru (0)			husfru
sina			sin (0.5)			sin
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
slar			sla (1)			sla
han			han (1)			han
af			af (0)			af
skal			skula (1)			skula
bot			bot (0)			bot
skal			skula (1)			skula
til			til (0)			til
bot			bot (0)			bot
sum			sum (0)			sum
nu			nu (0)			nu
han			han (1)			han
far			fa (0.333333)			fa
nu			nu (0)			nu
man			maþer (1)			maþer
i			i (0)			i
i			i (0)			i
för			fyr (1)			fyr
buþ			buþ (0)			buþ
i			i (0)			i
land			land (0)			land
han			han (1)			han
fiuratighi			fiuratighi (0)			fiuratighi
fiuratighi			fiuratighi (0)			fiuratighi
ensak			ensak (0)			ensak
fiuratighi			fiuratighi (0)			fiuratighi
i			i (0)			i
þry			þrir (1)			þrir
nu			nu (0)			nu
man			maþer (1)			maþer
hans			han (1)			han
til			til (0)			til
fiuratighi			fiuratighi (0)			fiuratighi
fiuratighi			fiuratighi (0)			fiuratighi
ensak			ensak (0)			ensak
fiuratighi			fiuratighi (0)			fiuratighi
i			i (0)			i
þry			þrir (1)			þrir
nu			nu (0)			nu
soknare			soknare (0)			soknare
knifs lagh			knifs lagh (0)			knifs lagh
þo			þo (0)			þo
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
dyl			dylia (1)			dylia
han			han (1)			han
hanum			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
nu			nu (0)			nu
han			han (1)			han
gangit			ganga (1)			ganga
þo			þo (0)			þo
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
sökia			sökia (0)			sökia
han			han (1)			han
skal			skula (1)			skula
sant			sander (1)			sander
um			um (0)			um
nu			nu (0)			nu
knifs lagh			knifs lagh (0)			knifs lagh
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
han			han (1)			han
böte			böta (1)			böta
sum			sum (0)			sum
sum			sum (0)			sum
nu			nu (0)			nu
huggin			hugga (1)			hugga
